form,field,field_type,criticality,default_mode,automation_gate,HITL_trigger,HITL_required_steps,HOTL_required_steps,final_authority,audit_evidence
CMS1500,insured_id_number,identifier,CRITICAL,HITL,"Valid identifier syntax; strong evidence; authorized member reference","Missing/ambiguous ID; OCR repair; reference missing/contradictory","Inspect crop; compare candidate with member source; correct or abstain; second approval","Monitor member-match failures and sample verified accepts",Authorized reference or approved human,"Crop; candidates; member lookup decision; approvals"
CMS1500,patient_name,person_name,CRITICAL,HITL,"Parsed name components; independent agreement; authorized reference","Component split ambiguity; handwriting; reference issue","Review whole-name and component crops; reconcile order; verify source; correct or abstain","Monitor name-splitting drift and reference contradictions",Authorized reference or approved human,"Whole/component crops; candidates; source; approvals"
CMS1500,patient_dob,date,CRITICAL,HITL,"Valid calendar date; strong evidence; authorized reference match","Invalid/ambiguous date; handwriting; reference missing/contradictory","Inspect crop; compare all date candidates and source; correct or abstain; approve","Sample verified dates; monitor format confusion and false accepts",Authorized reference or approved human,"Crop; parsed date; validation; reference; approvals"
CMS1500,patient_sex,sex,NONCRITICAL,HOTL,"One unambiguous checkbox or allowed normalized value","No/multiple marks; text/geometry disagreement","Inspect checkbox/text region; select allowed value or insufficient","Monitor mark ambiguity and sample decisions",Automated geometry or human,"Region; pixel scores; candidate and decision"
CMS1500,insured_name,person_name,CRITICAL,HITL,"Strong regional evidence and authorized reference match","Ambiguous/handwritten name; reference missing/contradictory","Inspect name crop; compare candidates/source; correct or abstain; approve","Monitor verified route and critical false accepts",Authorized reference or approved human,"Crop; candidates; reference; approvals"
CMS1500,patient_address,address,CRITICAL,HITL,"All parsed components consistent with authorized reference","Multiline parsing failure; missing component; contradiction","Review entire block and component crops; verify source; correct components or abstain","Monitor component-level drift and reference contradictions",Authorized reference or approved human,"Block crop; components; source; reviewer decisions"
CMS1500,insured_address,address,CRITICAL,HITL,"All parsed components consistent with authorized reference","Multiline parsing failure; missing component; contradiction","Review entire block; verify authorized source; correct or abstain; approve","Sample verified accepts; monitor component errors",Authorized reference or approved human,"Block crop; components; source; approvals"
CMS1500,insured_policy_group,identifier,NONCRITICAL,HOTL,"Valid identifier characters; label removed; confidence >=0.85","Label contamination; ambiguous characters; low confidence","Inspect crop; choose/correct identifier or mark insufficient","Monitor character-repair and rejection rates; sample accepts",Automated validator or human,"Crop; candidates; normalized identifier"
CMS1500,diagnosis_codes,medical_code,CRITICAL,HITL,"Every code format-valid; independent agreement or authorized code/reference validation","Invalid code; uncertain decimal; candidate disagreement","Inspect each code cell; verify against authorized code set/source; correct or abstain; approve","Monitor invalid-code drift and sample validated accepts",Authorized validation or approved human,"Cell crops; code candidates; validation; approvals"
CMS1500,federal_tax_id,tax_id,CRITICAL,HITL,"Exactly 9 digits; strong agreement; authorized provider reference","Length failure; digit repair; OCR disagreement; reference issue","Inspect crop; verify tax ID using authorized provider source; correct or abstain; approve","Monitor digit repairs and reference contradictions; no silent promotion",Authorized reference or approved human,"Crop; raw/normalized digits; source; approvals"
CMS1500,patient_account_no,identifier,NONCRITICAL,HOTL,"Valid field-specific characters; confidence >=0.85","Low confidence; label contamination; ambiguous characters","Inspect crop; correct identifier or abstain","Sample accepts; monitor identifier normalization and repair rates",Automated validator or human,"Crop; candidates; decision lineage"
CMS1500,total_charge,amount,CRITICAL,HITL,"Valid nonnegative amount; line/total consistency; strong evidence","Ambiguous decimal; total mismatch; low confidence","Inspect total crop and line charges; correct amount or abstain; approve material correction","Monitor reconciliation mismatches and amount drift; sample accepts",Approved human or trusted reconciliation,"Crop; parsed amount; arithmetic checks; approvals"
CMS1500,amount_paid,amount,NONCRITICAL,HOTL,"Valid nonnegative amount; confidence >=0.85","Ambiguous decimal/currency; impossible relationship to total","Inspect crop; compare total; correct or abstain","Monitor amount repairs and business-rule violations",Automated validator or human,"Crop; raw/normalized amount; checks"
CMS1500,billing_provider_info,provider_block,CRITICAL,HITL,"Provider components parsed; NPI/address verified where available","Block parsing failure; conflicting provider identity; missing NPI","Review entire provider block; verify authorized provider source; correct components or abstain","Monitor parser drift and provider-reference contradictions",Authorized reference or approved human,"Block crop; components; provider lookup; approvals"
CMS1500,date_from,date,NONCRITICAL,HOTL,"Valid date; date_from <= date_to; confidence >=0.85","Invalid date; date-range conflict; OCR disagreement","Inspect row cells; correct date or abstain","Monitor date-range violations and sample service lines",Automated validator or human,"Cell crop; parsed date; range validation"
CMS1500,date_to,date,NONCRITICAL,HOTL,"Valid date; date_to >= date_from; confidence >=0.85","Invalid date; date-range conflict; OCR disagreement","Inspect row cells; correct date or abstain","Monitor range violations and sample accepts",Automated validator or human,"Cell crop; parsed date; range validation"
CMS1500,place_of_service,code,NONCRITICAL,HOTL,"Exactly 2 digits and allowed code; confidence >=0.85","Invalid code; digit ambiguity","Inspect cell; select/correct allowed code or abstain","Monitor invalid-code and repair rates",Automated validator or human,"Cell crop; normalized code; validation"
CMS1500,emg,indicator,NONCRITICAL,HOTL,"One allowed indicator or unambiguous mark","Ambiguous mark; invalid character","Inspect cell/checkbox; select allowed value or insufficient","Monitor ambiguous indicator rate; sample decisions",Automated validator or human,"Cell pixels/crop; decision"
CMS1500,cpt_hcpcs,medical_code,NONCRITICAL,HOTL,"Valid procedure-code format; confidence >=0.85; optional code-set validation","Invalid structure; OCR disagreement; uncertain character","Inspect cell; compare candidates/code set; correct or abstain","Monitor code validation failures and sample accepts",Automated code validator or human,"Cell crop; candidates; code validation"
CMS1500,modifier,medical_code,NONCRITICAL,HOTL,"Allowed modifier structure; confidence >=0.85","Invalid length/characters; cell boundary ambiguity","Inspect modifier cells; correct or abstain","Monitor modifier failures and sample service lines",Automated validator or human,"Cell crop; normalized modifier; validation"
CMS1500,diagnosis_pointer,code_pointer,NONCRITICAL,HOTL,"Only permitted pointer characters; cross-family consensus","Invalid pointer; OCR disagreement; no linked diagnosis","Inspect cell; compare diagnosis list; correct or abstain","Monitor pointer/diagnosis consistency and sample accepts",Automated validator or human,"Cell crop; candidates; linkage validation"
CMS1500,charges,amount,NONCRITICAL,HOTL,"Valid amount; confidence >=0.95; valid single-cell crop; active route","Confidence below 0.95; decimal ambiguity; row/total mismatch","Inspect cell and row; correct amount or abstain","Monitor all low-margin cases; sample accepts; holdout required before route promotion",Automated validator or human,"Cell crop; amount candidates; confidence; reconciliation"
CMS1500,units,quantity,NONCRITICAL,HOTL,"Valid positive numeric quantity; confidence >=0.85","Non-numeric/implausible units; OCR disagreement","Inspect cell; correct quantity or abstain","Monitor outliers and repair rate; sample accepts",Automated validator or human,"Cell crop; parsed units; range checks"
CMS1500,rendering_provider_npi,npi,CRITICAL,HITL,"Exactly 10 digits; NPI checksum; authorized provider match","Checksum failure; OCR repair; reference missing/contradictory","Inspect NPI crop; verify provider source; correct or abstain; approve","Monitor checksum failures and reference contradictions",Authorized reference or approved human,"Crop; digits; checksum; source; approvals"
UB04,federal_tax_id,tax_id,CRITICAL,HITL,"Exactly 9 digits; strong evidence; authorized provider match","Length failure; digit repair; disagreement or contradiction","Inspect crop; verify source; correct or abstain; approve","Monitor repairs and reference contradictions",Authorized reference or approved human,"Crop; normalized digits; source; approvals"
UB04,patient_control_number,identifier,NONCRITICAL,HOTL,"Valid identifier syntax; confidence >=0.85","Low confidence; label contamination; ambiguous characters","Inspect crop; correct identifier or abstain","Sample accepted values; monitor repair rate",Automated validator or human,"Crop; candidates; normalized value"
UB04,patient_last,person_name,CRITICAL,HITL,"Strong evidence and authorized reference match","Ambiguous/handwritten value; source issue","Inspect crop; compare candidates/source; correct or abstain; approve","Monitor drift and critical false accepts",Authorized reference or approved human,"Crop; candidates; reference; approvals"
UB04,patient_first,person_name,CRITICAL,HITL,"Strong evidence and authorized reference match","Ambiguous/handwritten value; source issue","Inspect crop; compare candidates/source; correct or abstain; approve","Monitor drift and critical false accepts",Authorized reference or approved human,"Crop; candidates; reference; approvals"
UB04,provider_npi,npi,CRITICAL,HITL,"10 digits; NPI checksum; authorized provider match","Checksum failure; OCR repair; reference issue","Inspect crop; verify provider source; correct or abstain; approve","Monitor checksum/reference failures and sample accepts",Authorized reference or approved human,"Crop; digits; checksum; source; approvals"
UB04,principal_diagnosis,medical_code,CRITICAL,HITL,"Valid diagnosis format and authorized code/reference validation","Invalid/ambiguous code; decimal uncertainty; disagreement","Inspect code crop; verify code set/source; correct or abstain; approve","Monitor invalid-code drift and zero critical false accepts",Authorized validation or approved human,"Crop; candidates; code validation; approvals"
UB04,provider_name_address,provider_block,CRITICAL,HITL,"Parsed provider identity/address; authorized provider match","Parsing failure; conflicting identity/address","Review full block; verify provider source; correct components or abstain","Monitor parser and source contradictions",Authorized reference or approved human,"Block crop; components; source; approvals"
UB04,type_of_bill,bill_type,CRITICAL,HITL,"Valid bill-type structure; strong independent evidence","Invalid/ambiguous digit; conflicting candidates","Inspect crop; verify permitted structure/context; correct or abstain; approve","Monitor invalid types and critical false accepts",Approved human or trusted validator,"Crop; candidates; structural validation; approvals"
UB04,federal_tax_no,tax_id,CRITICAL,HITL,"Exactly 9 digits; strong evidence; authorized provider match","Length failure; repair; source contradiction","Inspect crop; verify source; correct or abstain; approve","Monitor digit repairs and contradictions",Authorized reference or approved human,"Crop; digits; source; approvals"
UB04,statement_covers_period,date_range,CRITICAL,HITL,"Two valid dates; start <= end; consistent with claim","Parsing/range failure; missing endpoint; OCR disagreement","Inspect both date cells; correct range or abstain; approve","Monitor range violations and sample accepted ranges",Approved human or trusted validator,"Crops; parsed dates; range checks; approvals"
UB04,patient_name,person_name,CRITICAL,HITL,"Parsed components and authorized reference agreement","Name-order ambiguity; handwriting; source issue","Review whole and component crops; verify source; correct or abstain","Monitor splitting drift and contradictions",Authorized reference or approved human,"Crops; components; source; approvals"
UB04,patient_address,address,CRITICAL,HITL,"Parsed address and authorized reference agreement","Incomplete/multiline parsing; source contradiction","Review block/components; verify source; correct or abstain; approve","Monitor component errors and contradictions",Authorized reference or approved human,"Block crop; components; source; approvals"
UB04,patient_dob,date,CRITICAL,HITL,"Valid date and authorized reference match","Invalid/ambiguous date; source issue","Inspect crop; verify date; correct or abstain; approve","Monitor date confusion and critical false accepts",Authorized reference or approved human,"Crop; parsed date; source; approvals"
UB04,patient_sex,sex,NONCRITICAL,HOTL,"One allowed value or unambiguous mark","Invalid/multiple/ambiguous selection","Inspect region; select allowed value or insufficient","Monitor ambiguity and sample decisions",Automated validator or human,"Region; candidates/mark scores; decision"
UB04,condition_codes,medical_code_list,NONCRITICAL,HOTL,"Every code segmented and format-valid; confidence >=0.85","Invalid code; segmentation ambiguity; disagreement","Inspect code cells; correct individual codes or abstain","Monitor code and segmentation failures; sample lists",Automated code validator or human,"Cell crops; code list; validations"
UB04,occurrence_codes,medical_code_list,NONCRITICAL,HOTL,"Codes and associated dates valid; confidence >=0.85","Code/date pairing failure; segmentation ambiguity","Inspect paired cells; correct pair or abstain","Monitor pairing failures and sample accepts",Automated validator or human,"Cell crops; pairs; validation"
UB04,value_codes,medical_code_list,NONCRITICAL,HOTL,"Code/amount pairs valid; confidence >=0.85","Pairing or amount failure; OCR disagreement","Inspect code/amount cells; correct pair or abstain","Monitor pair consistency and sample accepts",Automated validator or human,"Cell crops; pairs; validations"
UB04,payer_name,text,NONCRITICAL,HOTL,"Valid text crop; label excluded; confidence >=0.85","Low confidence; label contamination; multiple payer ambiguity","Inspect payer block; select/correct payer or abstain","Monitor label leakage and sample accepts",Automated route or human,"Crop; candidates; selected payer"
UB04,attending_npi_group,provider_block,CRITICAL,HITL,"NPI checksum plus provider-name/reference consistency","Group parsing failure; checksum/source contradiction","Review group crop; verify provider source; correct components or abstain","Monitor group-parser and source errors",Authorized reference or approved human,"Block crop; components; checksum; source; approvals"
UB04,insured_name,person_name,CRITICAL,HITL,"Strong evidence and authorized member reference","Ambiguous/handwritten name; source issue","Inspect crop; verify member source; correct or abstain; approve","Monitor drift and critical false accepts",Authorized reference or approved human,"Crop; candidates; source; approvals"
UB04,insured_unique_id,identifier,CRITICAL,HITL,"Valid identifier and authorized member match","Ambiguous character; repair; source contradiction","Inspect crop; verify member source; correct or abstain; approve","Monitor match failures and repairs",Authorized reference or approved human,"Crop; candidates; source; approvals"
UB04,group_name,text,NONCRITICAL,HOTL,"Valid regional text; confidence >=0.85","Low confidence; label contamination; boundary issue","Inspect crop; correct group name or abstain","Sample accepted text; monitor label leakage",Automated route or human,"Crop; raw/normalized text; confidence"
UB04,attending_npi,npi,CRITICAL,HITL,"10 digits; checksum; authorized provider match","Checksum failure; repair; source contradiction","Inspect crop; verify source; correct or abstain; approve","Monitor checksum/reference failures",Authorized reference or approved human,"Crop; digits; checksum; source; approvals"
UB04,revenue_code,medical_code,NONCRITICAL,HOTL,"Valid code; confidence >=0.90; valid single-cell crop","Confidence below 0.90; invalid code; cell-boundary ambiguity","Inspect cell; correct code or abstain","Monitor route performance; sample accepts; require holdout before promotion",Automated code validator or human,"Cell crop; candidates; confidence; validation"
UB04,description,text,NONCRITICAL,HOTL,"Valid cell crop; token agreement; deterministic validation","Missing tokens; column bleed; low confidence","Inspect description cell; correct text or abstain","Monitor token/column errors; sample accepts; holdout before promotion",Automated route or human,"Cell crop; token candidates; selected text"
UB04,hcpcs_rate,medical_code,NONCRITICAL,HOTL,"Valid HCPCS/rate code format; confidence >=0.85","Invalid/ambiguous character; OCR disagreement","Inspect cell; compare code set; correct or abstain","Monitor validation failures and sample accepts",Automated validator or human,"Cell crop; candidates; validation"
UB04,service_date,date,NONCRITICAL,HOTL,"Valid calendar date; claim-period consistency; confidence >=0.85","Invalid date; outside statement period; disagreement","Inspect cell; compare statement period; correct or abstain","Monitor period violations and date confusion",Automated validator or human,"Cell crop; parsed date; period check"
UB04,service_units,quantity,NONCRITICAL,HOTL,"Valid positive numeric units; confidence >=0.85","Non-numeric/implausible units; disagreement","Inspect cell; correct quantity or abstain","Monitor outliers and repair rate",Automated validator or human,"Cell crop; parsed units; range checks"
UB04,total_charges,amount,NONCRITICAL,HOTL,"Valid amount; confidence >=0.95; arithmetic consistency; active route","Below threshold; decimal ambiguity; total mismatch","Inspect cell and line arithmetic; correct or abstain","Monitor all reconciliation failures; sample accepts; holdout before promotion",Automated reconciliation or human,"Cell crop; amount; confidence; arithmetic checks"
UB04,non_covered_charges,amount,NONCRITICAL,HOTL,"Valid nonnegative amount; confidence >=0.85; <= relevant total","Decimal ambiguity; negative/impossible amount; disagreement","Inspect cell and totals; correct or abstain","Monitor business-rule violations and sample accepts",Automated validator or human,"Cell crop; parsed amount; consistency checks"
